X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
MEM case input file,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
This area above the <CASE> flag is for notes, etc.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Under key word definition, undefined keywords may be any number of spaces, or a null string,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note that demand has no decisions.,,,,,,,,,,,,,,,,,,,
Note that unmet demand is represented a source with a variable cost only, so unmet demand has an output decision.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REQUIRED KEYWORDS,,,,,,,,,,,,,,,,,,,
tech_name,Name of technology, must be unique,,,,,,,,,,,,,,,,,,
tech_type,One of 'non-dispatchable generator', 'generator', 'curtailment', 'lost_load', 'storage',  'transmission', or 'bidirectional_transmission',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPTIONAL KEYWORDS,,,,,,,,,,,,,,,,,,,
node,Name of node from which this technology would get or give its energy (or in the case of transmission, the receiving node),,,,,,,,,,,,,,,,,,
node_aux,Name of auxially node, e.g., node from transmission will get its energy,,,,,,,,,,,,,,,,,,
series_file,Pointer to time series file that will ultimately get loaded under the keyword <series>,,,,,,,,,,,,,,,,,,
fixed_cost,Fixed cost; must be defined if n_capacity > 0,,,,,,,,,,,,,,,,,,
var_cost,Variable cost; must be defined if n_dispatch_in > 0 or n_dispatchout > 0,,,,,,,,,,,,,,,,,,
charging_time,Possible contraint for case when n_capacity = 1, n_dispatch_in =1 and n_dispatch_out = 1 (e.g., battery),,,,,,,,,,,,,,,,,,
round_trip_efficiency,Possible factor for case when n_capacity = 1, n_dispatch_in =1 and n_dispatch_out = 1 (e.g., battery), aplied on way in to reservoir,,,,,,,,,,,,,,,,,,
decay_rate,Possible decay rate for storage in units of fraction per time step,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CASE_DATA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
case_name,regional_grids_2016,,,,,,,,,,,,,,,,,,
data_path,Input_Data,,,,,,,,,,,,,,,,,,
output_path,Output_Data/regional_grids/separate_one_tenth_cost_storage_part_3,,,,,,,,,,,,,,,,,,
verbose,TRUE,,,,,,,,,,,,,,,,,,
year_start,2016,,,,,,,,,,,,,,,,,,
month_start,1,,,,,,,,,,,,,,,,,,
day_start,1,,,,,,,,,,,,,,,,,,
hour_start,1,,,,,,,,,,,,,,,,,,
year_end,2016,,,,,,,,,,,,,,,,,,
month_end,12,,,,,,,,,,,,,,,,,,
day_end,31,,,,,,,,,,,,,,,,,,
hour_end,24,,,,,,,,,,,,,,,,,,
numerics_scaling,1.00E+00,,,,,,,,,,,,,,,,,,
delta_t,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TECH_DATA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tech_name,tech_type,node_from,node_to,series_file,normalization,capacity,fixed_cost,var_cost,charging_time,efficiency,decay_rate,length,fraction_land,line_loss,converter_pair_loss,line_cost_land,line_cost_sea,converter_pair_cost,notes
node_11_demand,demand,node_11,,three_hour_ENA_prototype_demand_unnormalized_srex11.csv,,,,,,,,,,,,,,,
node_12_demand,demand,node_12,,three_hour_ENA_prototype_demand_unnormalized_srex12.csv,,,,,,,,,,,,,,,
node_13_demand,demand,node_13,,three_hour_ENA_prototype_demand_unnormalized_srex13.csv,,,,,,,,,,,,,,,
node_14_demand,demand,node_14,,three_hour_ENA_prototype_demand_unnormalized_srex14.csv,,,,,,,,,,,,,,,
node_15_demand,demand,node_15,,three_hour_ENA_prototype_demand_unnormalized_srex15.csv,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_11_curtailment,curtailment,node_11,,,,,,,,,,,,,,,,,
node_12_curtailment,curtailment,node_12,,,,,,,,,,,,,,,,,
node_13_curtailment,curtailment,node_13,,,,,,,,,,,,,,,,,
node_14_curtailment,curtailment,node_14,,,,,,,,,,,,,,,,,
node_15_curtailment,curtailment,node_15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_11_lost_load,lost_load,,node_11,,,,,10,,,,,,,,,,,
node_12_lost_load,lost_load,,node_12,,,,,10,,,,,,,,,,,
node_13_lost_load,lost_load,,node_13,,,,,10,,,,,,,,,,,
node_14_lost_load,lost_load,,node_14,,,,,10,,,,,,,,,,,
node_15_lost_load,lost_load,,node_15,,,,,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_11_wind,fixed_generator,,node_11,three_hour_wind_srex11.csv,,,0.0159137068737509,,,,,,,,,,,,
node_12_wind,fixed_generator,,node_12,three_hour_wind_srex12.csv,,,0.0159137068737509,,,,,,,,,,,,
node_13_wind,fixed_generator,,node_13,three_hour_wind_srex13.csv,,,0.0159137068737509,,,,,,,,,,,,
node_14_wind,fixed_generator,,node_14,three_hour_wind_srex14.csv,,,0.0159137068737509,,,,,,,,,,,,
node_15_wind,fixed_generator,,node_15,three_hour_wind_srex15.csv,,,0.0159137068737509,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_11_solar,fixed_generator,,node_11,three_hour_solar_srex11.csv,,,0.0147721231073865,,,,,,,,,,,,
node_12_solar,fixed_generator,,node_12,three_hour_solar_srex12.csv,,,0.0147721231073865,,,,,,,,,,,,
node_13_solar,fixed_generator,,node_13,three_hour_solar_srex13.csv,,,0.0147721231073865,,,,,,,,,,,,
node_14_solar,fixed_generator,,node_14,three_hour_solar_srex14.csv,,,0.0147721231073865,,,,,,,,,,,,
node_15_solar,fixed_generator,,node_15,three_hour_solar_srex15.csv,,,0.0147721231073865,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_11_storage,storage,node_11,node_11,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_12_storage,storage,node_12,node_12,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_13_storage,storage,node_13,node_13,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_14_storage,storage,node_14,node_14,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_15_storage,storage,node_15,node_15,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,
END_CASE_DATA,,,,,,,,,,,,,,,,,,,
