X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
MEM case input file,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
This area above the <CASE> flag is for notes, etc.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Under key word definition, undefined keywords may be any number of spaces, or a null string,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Note that demand has no decisions.,,,,,,,,,,,,,,,,,,,
Note that unmet demand is represented a source with a variable cost only, so unmet demand has an output decision.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
REQUIRED KEYWORDS,,,,,,,,,,,,,,,,,,,
tech_name,Name of technology, must be unique,,,,,,,,,,,,,,,,,,
tech_type,One of 'non-dispatchable generator', 'generator', 'curtailment', 'lost_load', 'storage',  'transmission', or 'bidirectional_transmission',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPTIONAL KEYWORDS,,,,,,,,,,,,,,,,,,,
node,Name of node from which this technology would get or give its energy (or in the case of transmission, the receiving node),,,,,,,,,,,,,,,,,,
node_aux,Name of auxially node, e.g., node from transmission will get its energy,,,,,,,,,,,,,,,,,,
series_file,Pointer to time series file that will ultimately get loaded under the keyword <series>,,,,,,,,,,,,,,,,,,
fixed_cost,Fixed cost; must be defined if n_capacity > 0,,,,,,,,,,,,,,,,,,
var_cost,Variable cost; must be defined if n_dispatch_in > 0 or n_dispatchout > 0,,,,,,,,,,,,,,,,,,
charging_time,Possible contraint for case when n_capacity = 1, n_dispatch_in =1 and n_dispatch_out = 1 (e.g., battery),,,,,,,,,,,,,,,,,,
round_trip_efficiency,Possible factor for case when n_capacity = 1, n_dispatch_in =1 and n_dispatch_out = 1 (e.g., battery), aplied on way in to reservoir,,,,,,,,,,,,,,,,,,
decay_rate,Possible decay rate for storage in units of fraction per time step,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
CASE_DATA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
case_name,regional_grids_2018,,,,,,,,,,,,,,,,,,
data_path,Input_Data,,,,,,,,,,,,,,,,,,
output_path,Output_Data/regional_grids/separate_one_tenth_cost_storage_part_2,,,,,,,,,,,,,,,,,,
verbose,TRUE,,,,,,,,,,,,,,,,,,
year_start,2018,,,,,,,,,,,,,,,,,,
month_start,1,,,,,,,,,,,,,,,,,,
day_start,1,,,,,,,,,,,,,,,,,,
hour_start,1,,,,,,,,,,,,,,,,,,
year_end,2018,,,,,,,,,,,,,,,,,,
month_end,12,,,,,,,,,,,,,,,,,,
day_end,31,,,,,,,,,,,,,,,,,,
hour_end,24,,,,,,,,,,,,,,,,,,
numerics_scaling,1.00E+00,,,,,,,,,,,,,,,,,,
delta_t,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TECH_DATA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
tech_name,tech_type,node_from,node_to,series_file,normalization,capacity,fixed_cost,var_cost,charging_time,efficiency,decay_rate,length,fraction_land,line_loss,converter_pair_loss,line_cost_land,line_cost_sea,converter_pair_cost,notes
node_6_demand,demand,node_6,,three_hour_ENA_prototype_demand_unnormalized_srex6.csv,,,,,,,,,,,,,,,
node_7_demand,demand,node_7,,three_hour_ENA_prototype_demand_unnormalized_srex7.csv,,,,,,,,,,,,,,,
node_8_demand,demand,node_8,,three_hour_ENA_prototype_demand_unnormalized_srex8.csv,,,,,,,,,,,,,,,
node_9_demand,demand,node_9,,three_hour_ENA_prototype_demand_unnormalized_srex9.csv,,,,,,,,,,,,,,,
node_10_demand,demand,node_10,,three_hour_ENA_prototype_demand_unnormalized_srex10.csv,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_6_curtailment,curtailment,node_6,,,,,,,,,,,,,,,,,
node_7_curtailment,curtailment,node_7,,,,,,,,,,,,,,,,,
node_8_curtailment,curtailment,node_8,,,,,,,,,,,,,,,,,
node_9_curtailment,curtailment,node_9,,,,,,,,,,,,,,,,,
node_10_curtailment,curtailment,node_10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_6_lost_load,lost_load,,node_6,,,,,10,,,,,,,,,,,
node_7_lost_load,lost_load,,node_7,,,,,10,,,,,,,,,,,
node_8_lost_load,lost_load,,node_8,,,,,10,,,,,,,,,,,
node_9_lost_load,lost_load,,node_9,,,,,10,,,,,,,,,,,
node_10_lost_load,lost_load,,node_10,,,,,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_6_wind,fixed_generator,,node_6,three_hour_wind_srex6.csv,,,0.0159137068737509,,,,,,,,,,,,
node_7_wind,fixed_generator,,node_7,three_hour_wind_srex7.csv,,,0.0159137068737509,,,,,,,,,,,,
node_8_wind,fixed_generator,,node_8,three_hour_wind_srex8.csv,,,0.0159137068737509,,,,,,,,,,,,
node_9_wind,fixed_generator,,node_9,three_hour_wind_srex9.csv,,,0.0159137068737509,,,,,,,,,,,,
node_10_wind,fixed_generator,,node_10,three_hour_wind_srex10.csv,,,0.0159137068737509,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_6_solar,fixed_generator,,node_6,three_hour_solar_srex6.csv,,,0.0147721231073865,,,,,,,,,,,,
node_7_solar,fixed_generator,,node_7,three_hour_solar_srex7.csv,,,0.0147721231073865,,,,,,,,,,,,
node_8_solar,fixed_generator,,node_8,three_hour_solar_srex8.csv,,,0.0147721231073865,,,,,,,,,,,,
node_9_solar,fixed_generator,,node_9,three_hour_solar_srex9.csv,,,0.0147721231073865,,,,,,,,,,,,
node_10_solar,fixed_generator,,node_10,three_hour_solar_srex10.csv,,,0.0147721231073865,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
node_6_storage,storage,node_6,node_6,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_7_storage,storage,node_7,node_7,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_8_storage,storage,node_8,node_8,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_9_storage,storage,node_9,node_9,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
node_10_storage,storage,node_10,node_10,,,,0.00133538872182826,,4,0.9,1e-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,
END_CASE_DATA,,,,,,,,,,,,,,,,,,,
